requirement_id,requirement,deliverable_path,status,notes
C3-W5-R01,V13-WEEK-START-HERE,C:\Development\Workspace\DevotionalRepo\kutumba-family-program\11-weekly-program-library\first-six-months\c3-w5-the-nine-processes-of-bhakti\V13-WEEK-START-HERE.md,PASS,1:50-4:00 lock
C3-W5-R02,MAIN-FACILITATOR-GUIDE-V13,C:\Development\Workspace\DevotionalRepo\kutumba-family-program\11-weekly-program-library\first-six-months\c3-w5-the-nine-processes-of-bhakti\teacher\MAIN-FACILITATOR-GUIDE-V13.md,PASS,Deepened from V12
C3-W5-R03,PARENT-GUIDE-V13,C:\Development\Workspace\DevotionalRepo\kutumba-family-program\11-weekly-program-library\first-six-months\c3-w5-the-nine-processes-of-bhakti\teacher\PARENT-GUIDE-V13.md,PASS,
C3-W5-R04,YOUNGER-TEACHER-GUIDE-V13,C:\Development\Workspace\DevotionalRepo\kutumba-family-program\11-weekly-program-library\first-six-months\c3-w5-the-nine-processes-of-bhakti\teacher\YOUNGER-TEACHER-GUIDE-V13.md,PASS,
C3-W5-R05,OLDER-TEACHER-GUIDE-V13,C:\Development\Workspace\DevotionalRepo\kutumba-family-program\11-weekly-program-library\first-six-months\c3-w5-the-nine-processes-of-bhakti\teacher\OLDER-TEACHER-GUIDE-V13.md,PASS,
C3-W5-R06,family-home-practice-v13,C:\Development\Workspace\DevotionalRepo\kutumba-family-program\11-weekly-program-library\first-six-months\c3-w5-the-nine-processes-of-bhakti\family-home-practice-v13.md,PASS,
C3-W5-R07,materials-v13,C:\Development\Workspace\DevotionalRepo\kutumba-family-program\11-weekly-program-library\first-six-months\c3-w5-the-nine-processes-of-bhakti\materials-v13.md,PASS,
C3-W5-R08,research V13 set,C:\Development\Workspace\DevotionalRepo\kutumba-family-program\11-weekly-program-library\first-six-months\c3-w5-the-nine-processes-of-bhakti\research,PASS,7 research files
C3-W5-R09,activities Y01-Y05,C:\Development\Workspace\DevotionalRepo\kutumba-family-program\11-weekly-program-library\first-six-months\c3-w5-the-nine-processes-of-bhakti\activities\v13-younger,PASS,Nine-process wheel
C3-W5-R10,activities O01-O06,C:\Development\Workspace\DevotionalRepo\kutumba-family-program\11-weekly-program-library\first-six-months\c3-w5-the-nine-processes-of-bhakti\activities\v13-older,PASS,
C3-W5-R11,activities P01-P05,C:\Development\Workspace\DevotionalRepo\kutumba-family-program\11-weekly-program-library\first-six-months\c3-w5-the-nine-processes-of-bhakti\activities\v13-parent,PASS,parent PNG embed in builders
C3-W5-R12,project brief,C:\Development\Workspace\DevotionalRepo\kutumba-family-program\11-weekly-program-library\first-six-months\c3-w5-the-nine-processes-of-bhakti\project\V13-MODULE-PROJECT-BRIEF.md,PASS,
C3-W5-R13,Gamma prompts + source map,C:\Development\Workspace\DevotionalRepo\kutumba-family-program\11-weekly-program-library\first-six-months\c3-w5-the-nine-processes-of-bhakti\gamma,PASS,actual slide copy from V12 upgrade
C3-W5-R14,visuals PNG + RIGHTS,C:\Development\Workspace\DevotionalRepo\kutumba-family-program\11-weekly-program-library\first-six-months\c3-w5-the-nine-processes-of-bhakti\visuals\v13,PASS,
C3-W5-R15,printable C3-W5.py,C:\Development\Workspace\DevotionalRepo\kutumba-family-program\scripts\v13\printables\C3-W5.py,PASS,hyphenated; DOCX deferred
C3-W5-R16,CONTENT-AUDIT,C:\Development\Workspace\DevotionalRepo\kutumba-family-program\build-evidence\v13\C3-W5\CONTENT-AUDIT.md,PASS,
C3-W5-R17,REQUIREMENT-TRACEABILITY,C:\Development\Workspace\DevotionalRepo\kutumba-family-program\build-evidence\v13\C3-W5\REQUIREMENT-TRACEABILITY.csv,PASS,
