requirement_id,requirement,deliverable_path,status,notes
C2-W4-R01,V13-WEEK-START-HERE,C:\Development\Workspace\DevotionalRepo\kutumba-family-program\11-weekly-program-library\first-six-months\c2-w4-the-three-modes-of-material-nature\V13-WEEK-START-HERE.md,PASS,1:50-4:00 lock
C2-W4-R02,MAIN-FACILITATOR-GUIDE-V13,C:\Development\Workspace\DevotionalRepo\kutumba-family-program\11-weekly-program-library\first-six-months\c2-w4-the-three-modes-of-material-nature\teacher\MAIN-FACILITATOR-GUIDE-V13.md,PASS,Deepened from V12
C2-W4-R03,PARENT-GUIDE-V13,C:\Development\Workspace\DevotionalRepo\kutumba-family-program\11-weekly-program-library\first-six-months\c2-w4-the-three-modes-of-material-nature\teacher\PARENT-GUIDE-V13.md,PASS,
C2-W4-R04,YOUNGER-TEACHER-GUIDE-V13,C:\Development\Workspace\DevotionalRepo\kutumba-family-program\11-weekly-program-library\first-six-months\c2-w4-the-three-modes-of-material-nature\teacher\YOUNGER-TEACHER-GUIDE-V13.md,PASS,
C2-W4-R05,OLDER-TEACHER-GUIDE-V13,C:\Development\Workspace\DevotionalRepo\kutumba-family-program\11-weekly-program-library\first-six-months\c2-w4-the-three-modes-of-material-nature\teacher\OLDER-TEACHER-GUIDE-V13.md,PASS,
C2-W4-R06,family-home-practice-v13,C:\Development\Workspace\DevotionalRepo\kutumba-family-program\11-weekly-program-library\first-six-months\c2-w4-the-three-modes-of-material-nature\family-home-practice-v13.md,PASS,
C2-W4-R07,materials-v13,C:\Development\Workspace\DevotionalRepo\kutumba-family-program\11-weekly-program-library\first-six-months\c2-w4-the-three-modes-of-material-nature\materials-v13.md,PASS,
C2-W4-R08,research V13 set,C:\Development\Workspace\DevotionalRepo\kutumba-family-program\11-weekly-program-library\first-six-months\c2-w4-the-three-modes-of-material-nature\research,PASS,7 research files
C2-W4-R09,activities Y01-Y05,C:\Development\Workspace\DevotionalRepo\kutumba-family-program\11-weekly-program-library\first-six-months\c2-w4-the-three-modes-of-material-nature\activities\v13-younger,PASS,Scenario sorting
C2-W4-R10,activities O01-O06,C:\Development\Workspace\DevotionalRepo\kutumba-family-program\11-weekly-program-library\first-six-months\c2-w4-the-three-modes-of-material-nature\activities\v13-older,PASS,
C2-W4-R11,activities P01-P05,C:\Development\Workspace\DevotionalRepo\kutumba-family-program\11-weekly-program-library\first-six-months\c2-w4-the-three-modes-of-material-nature\activities\v13-parent,PASS,parent PNG embed in builders
C2-W4-R12,project brief,C:\Development\Workspace\DevotionalRepo\kutumba-family-program\11-weekly-program-library\first-six-months\c2-w4-the-three-modes-of-material-nature\project\V13-MODULE-PROJECT-BRIEF.md,PASS,
C2-W4-R13,Gamma prompts + source map,C:\Development\Workspace\DevotionalRepo\kutumba-family-program\11-weekly-program-library\first-six-months\c2-w4-the-three-modes-of-material-nature\gamma,PASS,actual slide copy from V12 upgrade
C2-W4-R14,visuals PNG + RIGHTS,C:\Development\Workspace\DevotionalRepo\kutumba-family-program\11-weekly-program-library\first-six-months\c2-w4-the-three-modes-of-material-nature\visuals\v13,PASS,
C2-W4-R15,printable C2-W4.py,C:\Development\Workspace\DevotionalRepo\kutumba-family-program\scripts\v13\printables\C2-W4.py,PASS,hyphenated; DOCX deferred
C2-W4-R16,CONTENT-AUDIT,C:\Development\Workspace\DevotionalRepo\kutumba-family-program\build-evidence\v13\C2-W4\CONTENT-AUDIT.md,PASS,
C2-W4-R17,REQUIREMENT-TRACEABILITY,C:\Development\Workspace\DevotionalRepo\kutumba-family-program\build-evidence\v13\C2-W4\REQUIREMENT-TRACEABILITY.csv,PASS,
