requirement_id,requirement,deliverable_path,status,notes
C3-W1-R01,V13-WEEK-START-HERE,C:\Development\Workspace\DevotionalRepo\kutumba-family-program\11-weekly-program-library\first-six-months\c3-w1-who-is-god-the-supreme-enjoyer-proprietor-and-friend\V13-WEEK-START-HERE.md,PASS,1:50-4:00 lock
C3-W1-R02,MAIN-FACILITATOR-GUIDE-V13,C:\Development\Workspace\DevotionalRepo\kutumba-family-program\11-weekly-program-library\first-six-months\c3-w1-who-is-god-the-supreme-enjoyer-proprietor-and-friend\teacher\MAIN-FACILITATOR-GUIDE-V13.md,PASS,Deepened from V12
C3-W1-R03,PARENT-GUIDE-V13,C:\Development\Workspace\DevotionalRepo\kutumba-family-program\11-weekly-program-library\first-six-months\c3-w1-who-is-god-the-supreme-enjoyer-proprietor-and-friend\teacher\PARENT-GUIDE-V13.md,PASS,
C3-W1-R04,YOUNGER-TEACHER-GUIDE-V13,C:\Development\Workspace\DevotionalRepo\kutumba-family-program\11-weekly-program-library\first-six-months\c3-w1-who-is-god-the-supreme-enjoyer-proprietor-and-friend\teacher\YOUNGER-TEACHER-GUIDE-V13.md,PASS,
C3-W1-R05,OLDER-TEACHER-GUIDE-V13,C:\Development\Workspace\DevotionalRepo\kutumba-family-program\11-weekly-program-library\first-six-months\c3-w1-who-is-god-the-supreme-enjoyer-proprietor-and-friend\teacher\OLDER-TEACHER-GUIDE-V13.md,PASS,
C3-W1-R06,family-home-practice-v13,C:\Development\Workspace\DevotionalRepo\kutumba-family-program\11-weekly-program-library\first-six-months\c3-w1-who-is-god-the-supreme-enjoyer-proprietor-and-friend\family-home-practice-v13.md,PASS,
C3-W1-R07,materials-v13,C:\Development\Workspace\DevotionalRepo\kutumba-family-program\11-weekly-program-library\first-six-months\c3-w1-who-is-god-the-supreme-enjoyer-proprietor-and-friend\materials-v13.md,PASS,
C3-W1-R08,research V13 set,C:\Development\Workspace\DevotionalRepo\kutumba-family-program\11-weekly-program-library\first-six-months\c3-w1-who-is-god-the-supreme-enjoyer-proprietor-and-friend\research,PASS,7 research files
C3-W1-R09,activities Y01-Y05,C:\Development\Workspace\DevotionalRepo\kutumba-family-program\11-weekly-program-library\first-six-months\c3-w1-who-is-god-the-supreme-enjoyer-proprietor-and-friend\activities\v13-younger,PASS,Triple-lens map
C3-W1-R10,activities O01-O06,C:\Development\Workspace\DevotionalRepo\kutumba-family-program\11-weekly-program-library\first-six-months\c3-w1-who-is-god-the-supreme-enjoyer-proprietor-and-friend\activities\v13-older,PASS,
C3-W1-R11,activities P01-P05,C:\Development\Workspace\DevotionalRepo\kutumba-family-program\11-weekly-program-library\first-six-months\c3-w1-who-is-god-the-supreme-enjoyer-proprietor-and-friend\activities\v13-parent,PASS,parent PNG embed in builders
C3-W1-R12,project brief,C:\Development\Workspace\DevotionalRepo\kutumba-family-program\11-weekly-program-library\first-six-months\c3-w1-who-is-god-the-supreme-enjoyer-proprietor-and-friend\project\V13-MODULE-PROJECT-BRIEF.md,PASS,
C3-W1-R13,Gamma prompts + source map,C:\Development\Workspace\DevotionalRepo\kutumba-family-program\11-weekly-program-library\first-six-months\c3-w1-who-is-god-the-supreme-enjoyer-proprietor-and-friend\gamma,PASS,actual slide copy from V12 upgrade
C3-W1-R14,visuals PNG + RIGHTS,C:\Development\Workspace\DevotionalRepo\kutumba-family-program\11-weekly-program-library\first-six-months\c3-w1-who-is-god-the-supreme-enjoyer-proprietor-and-friend\visuals\v13,PASS,
C3-W1-R15,printable C3-W1.py,C:\Development\Workspace\DevotionalRepo\kutumba-family-program\scripts\v13\printables\C3-W1.py,PASS,hyphenated; DOCX deferred
C3-W1-R16,CONTENT-AUDIT,C:\Development\Workspace\DevotionalRepo\kutumba-family-program\build-evidence\v13\C3-W1\CONTENT-AUDIT.md,PASS,
C3-W1-R17,REQUIREMENT-TRACEABILITY,C:\Development\Workspace\DevotionalRepo\kutumba-family-program\build-evidence\v13\C3-W1\REQUIREMENT-TRACEABILITY.csv,PASS,
