requirement_id,requirement,deliverable_path,status,notes
C1-W5-R01,V13-WEEK-START-HERE,11-weekly-program-library/first-six-months/c1-w5-the-temporary-world-and-the-search-for-permanent-happiness/V13-WEEK-START-HERE.md,PASS,Duration sorting lab (temporary / lasting)
C1-W5-R02,MAIN-FACILITATOR-GUIDE-V13,11-weekly-program-library/first-six-months/c1-w5-the-temporary-world-and-the-search-for-permanent-happiness/teacher/MAIN-FACILITATOR-GUIDE-V13.md,PASS,Duration sorting lab (temporary / lasting)
C1-W5-R03,PARENT-GUIDE-V13,11-weekly-program-library/first-six-months/c1-w5-the-temporary-world-and-the-search-for-permanent-happiness/teacher/PARENT-GUIDE-V13.md,PASS,Duration sorting lab (temporary / lasting)
C1-W5-R04,YOUNGER-TEACHER-GUIDE-V13,11-weekly-program-library/first-six-months/c1-w5-the-temporary-world-and-the-search-for-permanent-happiness/teacher/YOUNGER-TEACHER-GUIDE-V13.md,PASS,Duration sorting lab (temporary / lasting)
C1-W5-R05,OLDER-TEACHER-GUIDE-V13,11-weekly-program-library/first-six-months/c1-w5-the-temporary-world-and-the-search-for-permanent-happiness/teacher/OLDER-TEACHER-GUIDE-V13.md,PASS,Duration sorting lab (temporary / lasting)
C1-W5-R06,family-home-practice-v13,11-weekly-program-library/first-six-months/c1-w5-the-temporary-world-and-the-search-for-permanent-happiness/family-home-practice-v13.md,PASS,Duration sorting lab (temporary / lasting)
C1-W5-R07,materials-v13,11-weekly-program-library/first-six-months/c1-w5-the-temporary-world-and-the-search-for-permanent-happiness/materials-v13.md,PASS,Duration sorting lab (temporary / lasting)
C1-W5-R08,research V13 set,11-weekly-program-library/first-six-months/c1-w5-the-temporary-world-and-the-search-for-permanent-happiness/research/,PASS,Duration sorting lab (temporary / lasting)
C1-W5-R09,activities v13-younger/older/parent,11-weekly-program-library/first-six-months/c1-w5-the-temporary-world-and-the-search-for-permanent-happiness/activities/,PASS,Duration sorting lab (temporary / lasting)
C1-W5-R10,project V13-MODULE-PROJECT-BRIEF,11-weekly-program-library/first-six-months/c1-w5-the-temporary-world-and-the-search-for-permanent-happiness/project/V13-MODULE-PROJECT-BRIEF.md,PASS,Duration sorting lab (temporary / lasting)
C1-W5-R11,Gamma V13 prompts + source map,11-weekly-program-library/first-six-months/c1-w5-the-temporary-world-and-the-search-for-permanent-happiness/gamma/,PASS,Duration sorting lab (temporary / lasting)
C1-W5-R12,visuals/v13 PNG + RIGHTS,11-weekly-program-library/first-six-months/c1-w5-the-temporary-world-and-the-search-for-permanent-happiness/visuals/v13/,PASS,Duration sorting lab (temporary / lasting)
C1-W5-R13,printables/C1-W5.py,scripts/v13/printables/C1-W5.py,PASS,Duration sorting lab (temporary / lasting)
C1-W5-R14,CONTENT-AUDIT,build-evidence/v13/C1-W5/CONTENT-AUDIT.md,PASS,Duration sorting lab (temporary / lasting)
