requirement_id,requirement,deliverable_path,status,notes
C1-W3-R01,V13-WEEK-START-HERE,11-weekly-program-library/first-six-months/c1-w3-the-nature-of-the-soul/V13-WEEK-START-HERE.md,PASS,Classification map (soul is / is-not)
C1-W3-R02,MAIN-FACILITATOR-GUIDE-V13,11-weekly-program-library/first-six-months/c1-w3-the-nature-of-the-soul/teacher/MAIN-FACILITATOR-GUIDE-V13.md,PASS,Classification map (soul is / is-not)
C1-W3-R03,PARENT-GUIDE-V13,11-weekly-program-library/first-six-months/c1-w3-the-nature-of-the-soul/teacher/PARENT-GUIDE-V13.md,PASS,Classification map (soul is / is-not)
C1-W3-R04,YOUNGER-TEACHER-GUIDE-V13,11-weekly-program-library/first-six-months/c1-w3-the-nature-of-the-soul/teacher/YOUNGER-TEACHER-GUIDE-V13.md,PASS,Classification map (soul is / is-not)
C1-W3-R05,OLDER-TEACHER-GUIDE-V13,11-weekly-program-library/first-six-months/c1-w3-the-nature-of-the-soul/teacher/OLDER-TEACHER-GUIDE-V13.md,PASS,Classification map (soul is / is-not)
C1-W3-R06,family-home-practice-v13,11-weekly-program-library/first-six-months/c1-w3-the-nature-of-the-soul/family-home-practice-v13.md,PASS,Classification map (soul is / is-not)
C1-W3-R07,materials-v13,11-weekly-program-library/first-six-months/c1-w3-the-nature-of-the-soul/materials-v13.md,PASS,Classification map (soul is / is-not)
C1-W3-R08,research V13 set,11-weekly-program-library/first-six-months/c1-w3-the-nature-of-the-soul/research/,PASS,Classification map (soul is / is-not)
C1-W3-R09,activities v13-younger/older/parent,11-weekly-program-library/first-six-months/c1-w3-the-nature-of-the-soul/activities/,PASS,Classification map (soul is / is-not)
C1-W3-R10,project V13-MODULE-PROJECT-BRIEF,11-weekly-program-library/first-six-months/c1-w3-the-nature-of-the-soul/project/V13-MODULE-PROJECT-BRIEF.md,PASS,Classification map (soul is / is-not)
C1-W3-R11,Gamma V13 prompts + source map,11-weekly-program-library/first-six-months/c1-w3-the-nature-of-the-soul/gamma/,PASS,Classification map (soul is / is-not)
C1-W3-R12,visuals/v13 PNG + RIGHTS,11-weekly-program-library/first-six-months/c1-w3-the-nature-of-the-soul/visuals/v13/,PASS,Classification map (soul is / is-not)
C1-W3-R13,printables/C1-W3.py,scripts/v13/printables/C1-W3.py,PASS,Classification map (soul is / is-not)
C1-W3-R14,CONTENT-AUDIT,build-evidence/v13/C1-W3/CONTENT-AUDIT.md,PASS,Classification map (soul is / is-not)
