requirement_id,requirement,deliverable_path,status,notes
C1-W4-R01,V13-WEEK-START-HERE,11-weekly-program-library/first-six-months/c1-w4-why-human-life-is-rare-and-valuable/V13-WEEK-START-HERE.md,PASS,Time-budget challenge (jar / priority / schedule audit)
C1-W4-R02,MAIN-FACILITATOR-GUIDE-V13,11-weekly-program-library/first-six-months/c1-w4-why-human-life-is-rare-and-valuable/teacher/MAIN-FACILITATOR-GUIDE-V13.md,PASS,Time-budget challenge (jar / priority / schedule audit)
C1-W4-R03,PARENT-GUIDE-V13,11-weekly-program-library/first-six-months/c1-w4-why-human-life-is-rare-and-valuable/teacher/PARENT-GUIDE-V13.md,PASS,Time-budget challenge (jar / priority / schedule audit)
C1-W4-R04,YOUNGER-TEACHER-GUIDE-V13,11-weekly-program-library/first-six-months/c1-w4-why-human-life-is-rare-and-valuable/teacher/YOUNGER-TEACHER-GUIDE-V13.md,PASS,Time-budget challenge (jar / priority / schedule audit)
C1-W4-R05,OLDER-TEACHER-GUIDE-V13,11-weekly-program-library/first-six-months/c1-w4-why-human-life-is-rare-and-valuable/teacher/OLDER-TEACHER-GUIDE-V13.md,PASS,Time-budget challenge (jar / priority / schedule audit)
C1-W4-R06,family-home-practice-v13,11-weekly-program-library/first-six-months/c1-w4-why-human-life-is-rare-and-valuable/family-home-practice-v13.md,PASS,Time-budget challenge (jar / priority / schedule audit)
C1-W4-R07,materials-v13,11-weekly-program-library/first-six-months/c1-w4-why-human-life-is-rare-and-valuable/materials-v13.md,PASS,Time-budget challenge (jar / priority / schedule audit)
C1-W4-R08,research V13 set,11-weekly-program-library/first-six-months/c1-w4-why-human-life-is-rare-and-valuable/research/,PASS,Time-budget challenge (jar / priority / schedule audit)
C1-W4-R09,activities v13-younger/older/parent,11-weekly-program-library/first-six-months/c1-w4-why-human-life-is-rare-and-valuable/activities/,PASS,Time-budget challenge (jar / priority / schedule audit)
C1-W4-R10,project V13-MODULE-PROJECT-BRIEF,11-weekly-program-library/first-six-months/c1-w4-why-human-life-is-rare-and-valuable/project/V13-MODULE-PROJECT-BRIEF.md,PASS,Time-budget challenge (jar / priority / schedule audit)
C1-W4-R11,Gamma V13 prompts + source map,11-weekly-program-library/first-six-months/c1-w4-why-human-life-is-rare-and-valuable/gamma/,PASS,Time-budget challenge (jar / priority / schedule audit)
C1-W4-R12,visuals/v13 PNG + RIGHTS,11-weekly-program-library/first-six-months/c1-w4-why-human-life-is-rare-and-valuable/visuals/v13/,PASS,Time-budget challenge (jar / priority / schedule audit)
C1-W4-R13,printables/C1-W4.py,scripts/v13/printables/C1-W4.py,PASS,Time-budget challenge (jar / priority / schedule audit)
C1-W4-R14,CONTENT-AUDIT,build-evidence/v13/C1-W4/CONTENT-AUDIT.md,PASS,Time-budget challenge (jar / priority / schedule audit)
